#,Visible?,Starred?,Identified Proteins (1591),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,5848 - #1 - Exp,5848 - #2 - Exp,5848 - #3 - Exp,5848 - #4 - Exp
852,TRUE,Empty,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 OS=Homo sapiens OX=9606 GN=SMARCB1 PE=1 SV=2,sp|Q12824|SNF5_HUMAN (+1),,44 kDa,,unknown,9,0,0,0
897,TRUE,Empty,DDB1- and CUL4-associated factor 1 OS=Homo sapiens OX=9606 GN=DCAF1 PE=1 SV=3,sp|Q9Y4B6|DCAF1_HUMAN,,169 kDa,,unknown,9,0,0,0
903,TRUE,Empty,Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2,sp|P01876|IGHA1_HUMAN (+1),,38 kDa,TRUE,unknown,9,0,0,0
182,TRUE,Empty,RNA helicase OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=1,tr|A0A0D9SF53|A0A0D9SF53_HUMAN,,81 kDa,TRUE,unknown,8,2,11,32
189,TRUE,Empty,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,sp|Q9NU22|MDN1_HUMAN,,633 kDa,,unknown,8,3,0,42
190,TRUE,Empty,Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2,sp|Q8N1F7|NUP93_HUMAN,,93 kDa,,unknown,8,10,10,24
210,TRUE,Empty,"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=2",sp|P41252|SYIC_HUMAN,,145 kDa,,unknown,8,45,0,0
218,TRUE,Empty,40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3,sp|P46781|RS9_HUMAN,,23 kDa,,unknown,8,14,7,21
265,TRUE,Empty,rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2,sp|P22087|FBRL_HUMAN,,34 kDa,TRUE,unknown,8,1,10,23
276,TRUE,Empty,Histone H3.2 OS=Homo sapiens OX=9606 GN=H3C15 PE=1 SV=3,sp|Q71DI3|H32_HUMAN,,15 kDa,TRUE,unknown,8,5,7,17
287,TRUE,Empty,Cohesin subunit SA-2 OS=Homo sapiens OX=9606 GN=STAG2 PE=1 SV=3,sp|Q8N3U4|STAG2_HUMAN,,141 kDa,TRUE,unknown,8,6,8,14
295,TRUE,Empty,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=1,tr|R4GNH3|R4GNH3_HUMAN,,47 kDa,TRUE,unknown,8,29,0,0
310,TRUE,Empty,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1,sp|P62318|SMD3_HUMAN,,14 kDa,,unknown,8,22,4,2
327,TRUE,Empty,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Homo sapiens OX=9606 GN=CPOX PE=1 SV=3",sp|P36551|HEM6_HUMAN,,50 kDa,,unknown,8,26,0,0
347,TRUE,Empty,40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3,sp|P62263|RS14_HUMAN (+1),,16 kDa,,unknown,8,9,5,10
364,TRUE,Empty,FAST kinase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TBRG4 PE=1 SV=1,sp|Q969Z0|FAKD4_HUMAN,,71 kDa,,unknown,8,13,0,8
367,TRUE,Empty,F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,sp|P52907|CAZA1_HUMAN,,33 kDa,TRUE,unknown,8,24,0,0
372,TRUE,Empty,Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2,sp|O00425|IF2B3_HUMAN,,64 kDa,TRUE,unknown,8,2,1,11
407,TRUE,Empty,Importin-7 OS=Homo sapiens OX=9606 GN=IPO7 PE=1 SV=1,sp|O95373|IPO7_HUMAN,,120 kDa,TRUE,unknown,8,20,0,0
412,TRUE,Empty,40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1,sp|P62851|RS25_HUMAN,,14 kDa,,unknown,8,14,0,5
426,TRUE,Empty,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 OS=Homo sapiens OX=9606 GN=PLOD3 PE=1 SV=1,sp|O60568|PLOD3_HUMAN,,85 kDa,TRUE,unknown,8,3,0,10
442,TRUE,Empty,"Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1",sp|Q04837|SSBP_HUMAN,,17 kDa,,unknown,8,12,0,3
444,TRUE,Empty,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,sp|P63104|1433Z_HUMAN (+1),,28 kDa,TRUE,unknown,8,15,0,1
454,TRUE,Empty,Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1,sp|Q13310|PABP4_HUMAN,,71 kDa,TRUE,unknown,8,4,2,10
487,TRUE,Empty,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens OX=9606 GN=CNP PE=1 SV=2",sp|P09543|CN37_HUMAN,,48 kDa,TRUE,unknown,8,9,0,3
488,TRUE,Empty,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1,sp|P04843|RPN1_HUMAN,,69 kDa,,unknown,8,8,0,5
517,TRUE,Empty,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R1A PE=1 SV=4,sp|P30153|2AAA_HUMAN,,65 kDa,TRUE,unknown,8,11,0,0
519,TRUE,Empty,Protein OS-9 OS=Homo sapiens OX=9606 GN=OS9 PE=1 SV=1,sp|Q13438|OS9_HUMAN,,76 kDa,,unknown,8,10,0,0
564,TRUE,Empty,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3,sp|P62140|PP1B_HUMAN,,37 kDa,,unknown,8,4,5,1
607,TRUE,Empty,Very-long-chain 3-oxoacyl-CoA reductase OS=Homo sapiens OX=9606 GN=HSD17B12 PE=1 SV=2,sp|Q53GQ0|DHB12_HUMAN,,34 kDa,,unknown,8,4,0,2
637,TRUE,Empty,Transformation/transcription domain-associated protein OS=Homo sapiens OX=9606 GN=TRRAP PE=1 SV=3,sp|Q9Y4A5|TRRAP_HUMAN,,438 kDa,TRUE,unknown,8,1,0,3
642,TRUE,Empty,A-kinase anchor protein 8 OS=Homo sapiens OX=9606 GN=AKAP8 PE=1 SV=1,sp|O43823|AKAP8_HUMAN,,76 kDa,,unknown,8,0,5,0
644,TRUE,Empty,Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1,sp|P51648|AL3A2_HUMAN (+1),,55 kDa,TRUE,unknown,8,7,0,0
718,TRUE,Empty,E3 ubiquitin-protein ligase RING1 OS=Homo sapiens OX=9606 GN=RING1 PE=1 SV=2,sp|Q06587|RING1_HUMAN,,42 kDa,TRUE,unknown,8,0,0,2
737,TRUE,Empty,Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=3,sp|P35250|RFC2_HUMAN,,39 kDa,,unknown,8,1,0,3
815,TRUE,Empty,Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=1,tr|A0A669KBL1|A0A669KBL1_HUMAN,,132 kDa,,unknown,8,0,1,0
827,TRUE,Empty,Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2,sp|P35249|RFC4_HUMAN (+1),,40 kDa,,unknown,8,0,0,1
836,TRUE,Empty,Replication factor C subunit 3 OS=Homo sapiens OX=9606 GN=RFC3 PE=1 SV=2,sp|P40938|RFC3_HUMAN,,41 kDa,,unknown,8,0,0,2
840,TRUE,Empty,Tyrosine-protein kinase JAK1 OS=Homo sapiens OX=9606 GN=JAK1 PE=1 SV=2,sp|P23458|JAK1_HUMAN (+1),,133 kDa,TRUE,unknown,8,0,0,0
905,TRUE,Empty,Transcription factor E2F6 OS=Homo sapiens OX=9606 GN=E2F6 PE=1 SV=1,sp|O75461|E2F6_HUMAN,,32 kDa,,unknown,8,0,0,0
972,TRUE,Empty,ATPase WRNIP1 OS=Homo sapiens OX=9606 GN=WRNIP1 PE=1 SV=2,sp|Q96S55|WRIP1_HUMAN,,72 kDa,,unknown,8,0,0,0
973,TRUE,Empty,Double-strand break repair protein OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=1,tr|F8W7U8|F8W7U8_HUMAN,,81 kDa,,unknown,8,0,0,0
54,TRUE,Empty,Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,sp|Q13085|ACACA_HUMAN,,266 kDa,TRUE,unknown,7,3,0,157
110,TRUE,Empty,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,sp|P49327|FAS_HUMAN,,273 kDa,,unknown,7,78,0,6
191,TRUE,Empty,Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2,sp|Q14980|NUMA1_HUMAN,,238 kDa,TRUE,unknown,7,1,7,33
320,TRUE,Empty,TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,sp|Q92804|RBP56_HUMAN,,62 kDa,TRUE,unknown,7,6,5,9
344,TRUE,Empty,Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1,sp|P47897|SYQ_HUMAN,,88 kDa,,unknown,7,21,0,1
369,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1,tr|B3KS98|B3KS98_HUMAN,,42 kDa,,unknown,7,24,0,0
397,TRUE,Empty,60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1,sp|P62829|RL23_HUMAN,,15 kDa,,unknown,7,3,4,13
428,TRUE,Empty,Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4,sp|Q15424|SAFB1_HUMAN,,103 kDa,TRUE,unknown,7,0,8,6
429,TRUE,Empty,40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1,sp|P46783|RS10_HUMAN,,19 kDa,TRUE,unknown,7,16,0,2
455,TRUE,Empty,RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2,sp|Q14498|RBM39_HUMAN,,59 kDa,TRUE,unknown,7,1,5,11
482,TRUE,Empty,Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1,sp|O14818|PSA7_HUMAN,,28 kDa,TRUE,unknown,7,16,0,0
494,TRUE,Empty,26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMD7 PE=1 SV=2,sp|P51665|PSMD7_HUMAN,,37 kDa,,unknown,7,15,0,0
512,TRUE,Empty,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2,sp|P62937|PPIA_HUMAN (+1),,18 kDa,TRUE,unknown,7,5,1,6
522,TRUE,Empty,BTB/POZ domain-containing protein KCTD5 OS=Homo sapiens OX=9606 GN=KCTD5 PE=1 SV=1,sp|Q9NXV2|KCTD5_HUMAN,,26 kDa,TRUE,unknown,7,13,0,0
536,TRUE,Empty,Procollagen galactosyltransferase 1 OS=Homo sapiens OX=9606 GN=COLGALT1 PE=1 SV=1,sp|Q8NBJ5|GT251_HUMAN,,72 kDa,,unknown,7,7,0,4
544,TRUE,Empty,Polyadenylate-binding protein 2 OS=Homo sapiens OX=9606 GN=PABPN1 PE=1 SV=3,sp|Q86U42|PABP2_HUMAN,,33 kDa,TRUE,unknown,7,5,2,2
548,TRUE,Empty,Condensin complex subunit 3 OS=Homo sapiens OX=9606 GN=NCAPG PE=1 SV=1,sp|Q9BPX3|CND3_HUMAN,,114 kDa,,unknown,7,7,0,2
566,TRUE,Empty,Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2,sp|P27824|CALX_HUMAN,,68 kDa,,unknown,7,8,0,1
592,TRUE,Empty,Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3,sp|P23528|COF1_HUMAN (+1),,19 kDa,TRUE,unknown,7,8,0,0
606,TRUE,Empty,5'-nucleotidase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=NT5DC2 PE=1 SV=1,sp|Q9H857|NT5D2_HUMAN,,61 kDa,,unknown,7,4,0,5
609,TRUE,Empty,"3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2",sp|P42765|THIM_HUMAN,,42 kDa,,unknown,7,6,0,1
620,TRUE,Empty,Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1,sp|Q15019|SEPT2_HUMAN,,41 kDa,TRUE,unknown,7,6,0,0
742,TRUE,Empty,Sperm-associated antigen 5 OS=Homo sapiens OX=9606 GN=SPAG5 PE=1 SV=2,sp|Q96R06|SPAG5_HUMAN,,134 kDa,,unknown,7,1,0,0
763,TRUE,Empty,Tubulin gamma-1 chain OS=Homo sapiens OX=9606 GN=TUBG1 PE=1 SV=2,sp|P23258|TBG1_HUMAN,,51 kDa,TRUE,unknown,7,1,0,2
800,TRUE,Empty,Myoblast determination protein 1 OS=Homo sapiens OX=9606 GN=MYOD1 PE=1 SV=3,sp|P15172|MYOD1_HUMAN,,35 kDa,,unknown,7,1,2,0
841,TRUE,Empty,Spermatogenesis-associated protein 5-like protein 1 OS=Homo sapiens OX=9606 GN=SPATA5L1 PE=1 SV=2,sp|Q9BVQ7|SPA5L_HUMAN,,81 kDa,,unknown,7,0,0,1
902,TRUE,Empty,Transcription factor 12 OS=Homo sapiens OX=9606 GN=TCF12 PE=1 SV=1,sp|Q99081|HTF4_HUMAN,,73 kDa,TRUE,unknown,7,0,0,0
970,TRUE,Empty,KN motif and ankyrin repeat domain-containing protein 2 OS=Homo sapiens OX=9606 GN=KANK2 PE=1 SV=1,sp|Q63ZY3|KANK2_HUMAN,,91 kDa,TRUE,unknown,7,0,0,0
23,TRUE,Empty,Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2,sp|P04350|TBB4A_HUMAN,,50 kDa,TRUE,unknown,6,6,0,2
61,TRUE,Empty,Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,sp|Q9BUF5|TBB6_HUMAN,,50 kDa,TRUE,unknown,6,4,0,0
132,TRUE,Empty,ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,sp|P05141|ADT2_HUMAN,,33 kDa,TRUE,unknown,6,6,18,50
145,TRUE,Empty,Citrate synthase OS=Homo sapiens OX=9606 GN=CS PE=1 SV=1,tr|B4DJV2|B4DJV2_HUMAN,,50 kDa,,unknown,6,60,0,10
177,TRUE,Empty,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5,sp|P07814|SYEP_HUMAN,,171 kDa,,unknown,6,55,0,0
289,TRUE,Empty,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=2",sp|P23381|SYWC_HUMAN,,53 kDa,,unknown,6,28,0,0
290,TRUE,Empty,Small nuclear ribonucleoprotein-associated protein N OS=Homo sapiens OX=9606 GN=SNRPN PE=1 SV=1,sp|P63162|RSMN_HUMAN,,25 kDa,TRUE,unknown,6,23,5,2
297,TRUE,Empty,Peroxisomal acyl-coenzyme A oxidase 3 OS=Homo sapiens OX=9606 GN=ACOX3 PE=1 SV=2,sp|O15254|ACOX3_HUMAN,,78 kDa,,unknown,6,33,0,0
302,TRUE,Empty,40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2,sp|P62244|RS15A_HUMAN,,15 kDa,,unknown,6,12,3,12
321,TRUE,Empty,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2,sp|P49792|RBP2_HUMAN,,358 kDa,TRUE,unknown,6,1,4,18
346,TRUE,Empty,26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1,sp|P62191|PRS4_HUMAN,,49 kDa,,unknown,6,19,0,0
383,TRUE,Empty,DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3,sp|P25205|MCM3_HUMAN,,91 kDa,,unknown,6,17,5,0
385,TRUE,Empty,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,sp|O00231|PSD11_HUMAN,,47 kDa,,unknown,6,21,0,0
391,TRUE,Empty,5'-3' exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1,sp|Q9H0D6|XRN2_HUMAN,,109 kDa,,unknown,6,10,7,4
396,TRUE,Empty,Rho-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=ROCK1 PE=1 SV=1,sp|Q13464|ROCK1_HUMAN,,158 kDa,TRUE,unknown,6,22,0,0
403,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2,sp|O75821|EIF3G_HUMAN,,36 kDa,,unknown,6,21,0,1
408,TRUE,Empty,26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=2,sp|Q9UNM6|PSD13_HUMAN,,43 kDa,,unknown,6,22,0,0
435,TRUE,Empty,Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4,sp|P30101|PDIA3_HUMAN,,57 kDa,,unknown,6,17,0,0
439,TRUE,Empty,60S ribosomal protein L10 OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=4,sp|P27635|RL10_HUMAN (+1),,25 kDa,TRUE,unknown,6,3,5,12
441,TRUE,Empty,Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens OX=9606 GN=SNRPD1 PE=1 SV=1,sp|P62314|SMD1_HUMAN,,13 kDa,,unknown,6,10,1,8
443,TRUE,Empty,Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2,sp|Q07955|SRSF1_HUMAN (+1),,28 kDa,TRUE,unknown,6,0,1,14
460,TRUE,Empty,Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3,sp|P06493|CDK1_HUMAN (+1),,34 kDa,TRUE,unknown,6,6,0,5
472,TRUE,Empty,40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1,tr|A0A2R8YD14|A0A2R8YD14_HUMAN,,19 kDa,,unknown,6,8,2,7
474,TRUE,Empty,Vitamin-K-epoxide reductase (warfarin-sensitive) OS=Homo sapiens OX=9606 GN=VKORC1L1 PE=1 SV=1,tr|A0A3B3ISV4|A0A3B3ISV4_HUMAN,,24 kDa,TRUE,unknown,6,6,2,3
476,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,sp|O00303|EIF3F_HUMAN,,38 kDa,,unknown,6,13,0,3
477,TRUE,Empty,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2,sp|P08621|RU17_HUMAN,,52 kDa,TRUE,unknown,6,0,11,3
502,TRUE,Empty,Fibroblast growth factor receptor 4 OS=Homo sapiens OX=9606 GN=FGFR4 PE=1 SV=2,sp|P22455|FGFR4_HUMAN,,88 kDa,TRUE,unknown,6,2,0,5
507,TRUE,Empty,cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens OX=9606 GN=PRKACA PE=1 SV=2,sp|P17612|KAPCA_HUMAN,,41 kDa,TRUE,unknown,6,15,0,0
529,TRUE,Empty,RNA-binding protein 4 OS=Homo sapiens OX=9606 GN=RBM4 PE=1 SV=1,sp|Q9BWF3|RBM4_HUMAN,,40 kDa,,unknown,6,0,5,5
584,TRUE,Empty,40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1,sp|P62857|RS28_HUMAN,,8 kDa,,unknown,6,7,0,3
611,TRUE,Empty,Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1,sp|P48444|COPD_HUMAN,,57 kDa,,unknown,6,6,1,0
617,TRUE,Empty,Septin-11 OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=3,sp|Q9NVA2|SEP11_HUMAN (+2),,49 kDa,TRUE,unknown,6,6,0,0
632,TRUE,Empty,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,sp|Q09666|AHNK_HUMAN,,629 kDa,,unknown,6,1,0,0
634,TRUE,Empty,Leucine-rich repeat-containing protein 59 OS=Homo sapiens OX=9606 GN=LRRC59 PE=1 SV=1,sp|Q96AG4|LRC59_HUMAN,,35 kDa,,unknown,6,5,0,3
663,TRUE,Empty,Neuronal migration protein doublecortin OS=Homo sapiens OX=9606 GN=DCX PE=1 SV=1,tr|A0A1B0GWD1|A0A1B0GWD1_HUMAN,,40 kDa,,unknown,6,1,0,7
667,TRUE,Empty,C4a anaphylatoxin OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=1,tr|A0A140TA29|A0A140TA29_HUMAN,,188 kDa,TRUE,unknown,6,1,0,3
748,TRUE,Empty,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens OX=9606 GN=OGT PE=1 SV=3,sp|O15294|OGT1_HUMAN,,117 kDa,,unknown,6,1,0,0
777,TRUE,Empty,Golgin subfamily A member 3 OS=Homo sapiens OX=9606 GN=GOLGA3 PE=1 SV=2,sp|Q08378|GOGA3_HUMAN,,167 kDa,,unknown,6,3,0,0
780,TRUE,Empty,Protein NipSnap homolog 1 OS=Homo sapiens OX=9606 GN=NIPSNAP1 PE=1 SV=1,sp|Q9BPW8|NIPS1_HUMAN,,33 kDa,TRUE,unknown,6,3,0,0
864,TRUE,Empty,Coiled-coil domain-containing protein 8 OS=Homo sapiens OX=9606 GN=CCDC8 PE=1 SV=2,sp|Q9H0W5|CCDC8_HUMAN,,59 kDa,,unknown,6,1,0,2
866,TRUE,Empty,"Aspartate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=GOT2 PE=1 SV=3",sp|P00505|AATM_HUMAN,,48 kDa,,unknown,6,1,0,1
940,TRUE,Empty,Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1,sp|P46060|RAGP1_HUMAN,,64 kDa,,unknown,6,2,0,0
1024,TRUE,Empty,General transcription factor 3C polypeptide 2 OS=Homo sapiens OX=9606 GN=GTF3C2 PE=1 SV=2,sp|Q8WUA4|TF3C2_HUMAN,,101 kDa,,unknown,6,0,0,0
1029,TRUE,Empty,Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4,sp|Q96N67|DOCK7_HUMAN,,243 kDa,TRUE,unknown,6,0,0,0
1031,TRUE,Empty,Kelch-like protein 40 OS=Homo sapiens OX=9606 GN=KLHL40 PE=1 SV=2,sp|Q2TBA0|KLH40_HUMAN,,69 kDa,TRUE,unknown,6,0,0,0
1033,TRUE,Empty,Protein max OS=Homo sapiens OX=9606 GN=MAX PE=1 SV=1,sp|P61244|MAX_HUMAN,,18 kDa,,unknown,6,0,0,0
1119,TRUE,Empty,Rho GTPase-activating protein 42 OS=Homo sapiens OX=9606 GN=ARHGAP42 PE=1 SV=3,sp|A6NI28|RHG42_HUMAN,,99 kDa,,unknown,6,0,0,0
6,TRUE,Empty,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",sp|P60709|ACTB_HUMAN,,42 kDa,TRUE,unknown,5,11,1,0
101,TRUE,Empty,Desmin OS=Homo sapiens OX=9606 GN=DES PE=1 SV=3,sp|P17661|DESM_HUMAN,,54 kDa,TRUE,unknown,5,0,23,51
116,TRUE,Empty,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1,sp|O60264|SMCA5_HUMAN,,122 kDa,TRUE,unknown,5,4,27,48
197,TRUE,Empty,"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2",sp|P49411|EFTU_HUMAN,,50 kDa,TRUE,unknown,5,13,2,36
240,TRUE,Empty,Adenylyl cyclase-associated protein 2 OS=Homo sapiens OX=9606 GN=CAP2 PE=1 SV=1,sp|P40123|CAP2_HUMAN,,53 kDa,TRUE,unknown,5,39,0,0
272,TRUE,Empty,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,sp|P15924|DESP_HUMAN,,332 kDa,TRUE,unknown,5,21,0,5
352,TRUE,Empty,60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,sp|P18124|RL7_HUMAN,,29 kDa,,unknown,5,0,6,20
354,TRUE,Empty,26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3,sp|O00232|PSD12_HUMAN,,53 kDa,,unknown,5,25,0,0
362,TRUE,Empty,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,sp|P39023|RL3_HUMAN,,46 kDa,TRUE,unknown,5,0,4,17
418,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3,sp|P52597|HNRPF_HUMAN,,46 kDa,TRUE,unknown,5,0,8,0
457,TRUE,Empty,Nucleoporin NUP188 OS=Homo sapiens OX=9606 GN=NUP188 PE=1 SV=1,sp|Q5SRE5|NU188_HUMAN,,196 kDa,,unknown,5,4,0,11
471,TRUE,Empty,Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1,sp|Q29RF7|PDS5A_HUMAN,,151 kDa,TRUE,unknown,5,3,2,3
483,TRUE,Empty,FAD-dependent oxidoreductase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FOXRED1 PE=1 SV=2,sp|Q96CU9|FXRD1_HUMAN,,54 kDa,,unknown,5,17,0,0
498,TRUE,Empty,DNA replication licensing factor MCM2 OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=4,sp|P49736|MCM2_HUMAN,,102 kDa,,unknown,5,10,4,0
521,TRUE,Empty,Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1,sp|P25789|PSA4_HUMAN,,29 kDa,,unknown,5,14,0,0
535,TRUE,Empty,60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1,sp|P05387|RLA2_HUMAN,,12 kDa,,unknown,5,6,0,7
